min post release, degrees from east, mph
56.5603,211.745862,1.202407
56.6436,207.483441,1.006166
56.7269,219.571509,1.033948
56.8102,233.329445,1.091372
56.8935,233.635176,1.124778
56.9768,233.636364,1.148067
57.0601,234.041064,0.954197
57.1434,234.363636,0.825125
57.2267,234.363636,0.974406
57.31,234.788869,1.066485
57.3933,237.956578,1.094428
57.4766,240.909091,0.935183
57.5599,240.909091,0.812404
57.6432,240.909091,0.849302
57.7265,240.909091,1.27576
57.8098,257.723981,1.42401
57.8931,344.083,1.550303
57.9764,51.540852,2.259703
58.0597,40.759009,2.377392
58.143,31.15733,1.952977
58.2263,40.667382,1.749823
58.3096,54.449487,2.040264
58.3929,49.520464,2.491149
58.4762,29.681497,2.363002
58.5595,26.870968,2.250335
58.6428,33.90462,2.568851
58.7261,35.446746,2.533072
58.8094,39.121909,2.428888
58.8927,43.227797,2.771121
58.976,33.852758,2.782832
59.0593,31.274811,2.629126
59.1426,38.424068,2.690165
59.2259,32.537658,2.237152
59.3092,36.316415,2.17672
59.3925,29.866967,2.047247
59.4758,32.233392,1.945858
59.5591,33.768294,2.359737
59.6424,41.434193,2.431577
59.7257,57.979127,2.232841
59.809,61.761342,2.562646
59.8923,56.301374,2.761848
59.9756,69.129616,2.866439
